local,longitud,latitud,denominacion,tipo
ACB,-60.57066,-33.27226,CORONEL BOGADO/AGROSERVICIOS,Aeródromo
ACH,-64.61351,-37.40164,GENERAL ACHA,Aeródromo
ACM,-60.1417,-34.07574,ARRECIFES/LA CURA MALAL,Aeródromo
ADO,-65.9041,-47.73511,PUERTO DESEADO,Aeródromo
ADT,-62.26462,-28.85541,BANDERA/AGROSERVICIOS DOÑA TERESA,Aeródromo
ADU,-62.23812,-28.86691,BANDERA/DUTTO,Aeródromo
AER,-58.41638889,-34.55888889,BUENOS AIRES/AEROPARQUE J. NEWBERY,Aeródromo
AGI,-70.01075,-40.19232,PIEDRA DEL ÁGUILA,Aeródromo
AGR,-64.39388889,-31.65111111,ALTA GRACIA,Aeródromo
AII,-60.51661,-34.81116,CHACABUCO/LAS DOS A,Aeródromo
AJA,-68.47305556,-31.35138889,LA LAJA,Aeródromo
ALC,-62.52293,-34.80942,AMEGHINO/LA CHACRA,Aeródromo
ALL,-67.80277778,-38.95833333,ALLEN,Aeródromo
ALR,-63.73,-33.34861111,ALEJANDRO ROCA,Aeródromo
ALT,-61.83694444,-33.00777778,CRUZ ALTA,Aeródromo
ALV,-60.66682,-33.06853,ALVEAR/AGROALVEAR SRL,Aeródromo
AMA,-62.01657,-35.10043,ROBERTS/LA AMALIA,Aeródromo
AME,-62.46787,-34.83057,AMEGHINO/SIGFRIDO ROHR,Aeródromo
AMG,-62.48266,-34.84541,AMEGHINO,Aeródromo
ANA,-60.37388889,-31.75777778,PARANÁ/AEROCLUB,Aeródromo
AND,-66.34277778,-27.62805556,ANDALGALÁ,Aeródromo
APO,-55.76555556,-27.90333333,APÓSTOLES,Aeródromo
ARB,-61.38666667,-34.22194444,ARRIBEÑOS,Aeródromo
ARS,-70.81282,-45.0132,ALTO RÍO SENGUERR/D. C. SZLAPELIS,Aeródromo
ARY,-63.005,-31.42222222,ARROYITO/ARCOR,Aeródromo
ATE,-59.08266,-34.11829,ZÁRATE,Aeródromo
ATN,-62.70635,-35.99773,TRENQUE LAUQUEN/LA ARGENTINA,Aeródromo
AUL,-62.47709,-34.81797,AMEGHINO/AUGUSTO LEGUIZAMÓN,Aeródromo
AVA,-60.59756,-33.04691,ALVEAR/AEROPARQUE ROSARIO,Aeródromo
AVL,-59.6575,-29.10611111,AVELLANEDA/PRESIDENTE AVELLANEDA,Aeródromo
AYA,-58.47305556,-37.1625,AYACUCHO,Aeródromo
BAD,-57.64416667,-27.38277778,BERÓN DE ASTRADA/DINALUCA S.A.,Aeródromo
BAI,-70.94805556,-46.57611111,LAGO BUENOS AIRES,Aeródromo
BAL,-58.34361111,-37.91527778,BALCARCE,Aeródromo
BAR,-71.15777778,-41.15111111,SAN CARLOS DE BARILOCHE,Aeródromo
BAS,-58.8816,-32.3616,BASAVILBASO,Aeródromo
BCA,-62.15333333,-38.7275,BAHÍA BLANCA/COMANDANTE ESPORA,Aeródromo
BDO,-59.49279,-33.82122,BARADERO,Aeródromo
BDR,-65.08222222,-41.84277778,BAHÍA DORADA,Aeródromo
BEL,-62.70194444,-32.65833333,BELL VILLE,Aeródromo
BEX,-59.46911,-33.85864,BARADERO,Aeródromo
BHB,-62.3525,-38.67194444,BAHÍA BLANCA/AEROCLUB,Aeródromo
BHT,-60.57884,-35.33147,BRAGADO/HARAS TRELLIRIS,Aeródromo
BIO,-72.22034,-51.60502,EL TURBIO/28 DE NOVIEMBRE,Aeródromo
BLA,-58.18833333,-37.46277778,BALCARCE/EA. LA ALBORADA,Aeródromo
BLC,-58.03821,-37.73529,BALCARCE/EA. LOS CARDOS,Aeródromo
BLE,-58.66611111,-37.55944444,BALCARCE/EA. LA ESTRELLA,Aeródromo
BLL,-58.10861111,-38.35472222,MIRAMAR/LAS CORTADERAS,Aeródromo
