fecha,hora_despegue,desde,desde_long,desde_lat,hasta,hasta_long,hasta_lat,hora_aterrizaje,finalidad,marca,matricula,potencia,clase,sobre_aerodromo_piloto,travesia_piloto,aterrizajes,instructor,capota,adiestrador_instruccion
2015-11-07,1500,BHB,-62.3525,-38.67194444,BHB,-62.3525,-38.67194444,1555,ADAP,C-150,LV-CYB,100,,0.9,,1,,,
2016-01-23,1000,BHB,-62.3525,-38.67194444,BHB,-62.3525,-38.67194444,1100,ADAP,PA-11,LV-RLT,65,,1,,5,,,
2016-04-23,1525,BHB,-62.3525,-38.67194444,BHB,-62.3525,-38.67194444,1630,ADAP,PA-11,LV-RLT,65,,1.1,,7,,,
2016-07-05,1630,BHB,-62.3525,-38.67194444,BHB,-62.3525,-38.67194444,1725,ADAP,PA-11,LV-RLT,65,,0.9,,5,,,
2016-05-28,1645,BHB,-62.3525,-38.67194444,BHB,-62.3525,-38.67194444,1745,ADAP,PA-11,LV-RLT,65,,1,,8,,,
2017-03-26,1250,MOR,-58.64361111,-34.67916667,MOR,-58.64361111,-34.67916667,1350,ADAP,P208,LV-GKQ,100,,1,,2,,,
2017-03-31,1040,MOR,-58.64361111,-34.67916667,MOR,-58.64361111,-34.67916667,1140,ADAP,SIRA,LV-S023,100,,1,,6,,,
2017-04-07,1730,MOR,-58.64361111,-34.67916667,MOR,-58.64361111,-34.67916667,1850,ADAP,P208,LV-GKQ,100,,1.3,,4,,,
2017-04-08,1315,MOR,-58.64361111,-34.67916667,MOR,-58.64361111,-34.67916667,1430,ADAP,P208,LV-GKQ,100,,1.3,,2,,,
2017-04-11,830,MOR,-58.64361111,-34.67916667,VNO,-61.95515,-33.67977,1040,VP,P208,LV-GKQ,100,,,2.2,1,,,
2017-04-11,1150,VNO,-61.95515,-33.67977,RAE,-58.64361111,-34.67916667,1540,VP,P208,LV-GKQ,100,,,3.8,1,,,
2017-04-12,1750,RAE,-68.49242,-33.2068,RAE,-68.49242,-33.2068,1900,ADAP,SIRA,LV-S023,100,,1.2,,1,,,
2017-04-13,915,RAE,-68.49242,-33.2068,VNO,-61.95515,-33.67977,1310,VP,SIRA,LV-S023,100,,,3.9,1,,,
2017-04-13,1335,VNO,-61.95515,-33.67977,MOR,-58.64361111,-34.67916667,1545,VP,SIRA,LV-S023,100,,,2.2,1,,,
2017-04-16,1610,MOR,-58.64361111,-34.67916667,MOR,-58.64361111,-34.67916667,1740,VP,SIRA,LV-S023,100,,1.5,,3,,,
2017-05-01,1525,MOR,-58.64361111,-34.67916667,MOR,-58.64361111,-34.67916667,1627,VP,SIRA,LV-S023,100,,1,,1,,,
2017-06-17,1130,MOR,-58.64361111,-34.67916667,MOR,-58.64361111,-34.67916667,1245,READ,P208,LV-GKQ,100,,1.3,,5,,,
2017-07-27,1645,MOR,-58.64361111,-34.67916667,MOR,-58.64361111,-34.67916667,1830,INST,P208,LV-GKQ,100,,1.7,,8,,,
2017-09-30,1107,MOR,-58.64361111,-34.67916667,MOR,-58.64361111,-34.67916667,1214,READ,SIRA,LV-S050,100,,1.1,,5,,,
2017-11-20,935,MOR,-58.64361111,-34.67916667,MOR,-58.64361111,-34.67916667,1035,INST,SIRA,LV-S023,100,,1,,7,,,
2017-11-24,1715,MOR,-58.64361111,-34.67916667,MOR,-58.64361111,-34.67916667,1830,INST,SIRA,LV-S023,100,,1.3,,4,,,
2017-12-10,1550,MOR,-58.64361111,-34.67916667,MOR,-58.64361111,-34.67916667,1710,INST,SIRA,LV-S050,100,,1.3,,3,,,
2018-01-24,1710,MOR,-58.64361111,-34.67916667,MOR,-58.64361111,-34.67916667,1825,INST,SIRA,LV-S023,100,,1.3,,5,,,
2018-03-04,1745,MOR,-58.64361111,-34.67916667,MOR,-58.64361111,-34.67916667,1839,INST,SIRA,LV-S050,100,,0.9,,1,,,
2018-04-10,1205,MOR,-58.64361111,-34.67916667,MOR,-58.64361111,-34.67916667,1435,INST,SIRA,LV-S050,100,,2.5,,7,,,
